,lower Modal_Price,upper Modal_Price
2017-06-01,927.2624515658026,3531.6965497711763
2017-07-01,413.51513407515563,3900.5102925265764
2017-08-01,222.20832173409326,4277.308299659702
2017-09-01,56.18836350085576,4514.779539869589
2017-10-01,-71.88362502478049,4687.287180598919
2017-11-01,-191.03740090590418,4798.722859256034
2017-12-01,-275.2150972838822,4895.128549571657
2018-01-01,-947.4489394516022,4366.606295210621
2018-02-01,-1056.1607804180885,4373.909676700134
2018-03-01,-1126.5327116961398,4398.707767245126
2018-04-01,-1114.555882041144,4491.673947894442
2018-05-01,-1158.6689618414994,4534.149925483915
2018-06-01,-658.328820346766,5102.232486645165
2018-07-01,-749.7621823359423,5069.406226448804
2018-08-01,-695.0921542586584,5174.655858059362
2018-09-01,-686.0073016210008,5227.3380999396895
2018-10-01,-685.5482563149267,5265.361985095713
2018-11-01,-704.9503089705386,5278.344856909671
2018-12-01,-713.5849368787926,5297.686074712274
2019-01-01,-1242.112605200653,4793.450073581989
